program,observed,null,delta
P01,0.413817470680666,0.070205503443685,0.3436119672369809
P02,0.6517334199389992,0.2504445354428507,0.4012888844961485
P03,0.6361689636210704,0.1544617701326267,0.4817071934884437
P04,0.7166606064143639,0.0378820373580385,0.6787785690563254
P05,0.4954855476883176,0.0845036801134562,0.4109818675748614
P06,0.519845982399441,0.0847065221838547,0.4351394602155863
P07,0.6218417577997161,0.093195024538589,0.5286467332611271
P08,0.5897547489063908,0.1051056601127607,0.48464908879363
P09,0.6150124658084518,0.1006906665410774,0.5143217992673743
P10,0.6577188472809672,0.0247869796838739,0.6329318675970933
P11,0.5394291501307614,0.0453859747819191,0.4940431753488423
P12,0.5963224934666089,0.0422364742717468,0.5540860191948621
P13,0.4659005667679021,0.0398958581252012,0.4260047086427008
P14,0.5554968191282946,0.1245999257758883,0.4308968933524063
P15,0.407936893045268,0.0429162531897507,0.3650206398555173
P16,0.411166517918701,0.0230737707197003,0.3880927471990007
P17,0.6315345912389771,0.1344593292735786,0.4970752619653985
P18,0.6317651448549699,0.1615690739608683,0.4701960708941016
P19,0.6384576794578104,0.0717768960495459,0.5666807834082646
P20,0.3463327502932115,0.0235409987636533,0.3227917515295582
P21,0.3154952089794883,0.0327989730596365,0.2826962359198518
P22,0.6637989191116351,0.0310640335030557,0.6327348856085795
P23,0.6291236766110377,0.0714040720817245,0.5577196045293132
P24,0.7033647226045912,0.1063733410631993,0.5969913815413919
P25,0.5871125280635467,0.0812717114261215,0.5058408166374252
P26,0.5699904588810479,0.0389116776485647,0.5310787812324832
P27,0.5496629506037316,0.1556853916734571,0.3939775589302745
P28,0.6556435968054771,0.1514070888601094,0.5042365079453677
P29,0.6030018967994943,0.0558072415430151,0.5471946552564793
P30,0.7250881067867005,0.1771300723871048,0.5479580343995958
