gap,median,q25,q75,n
1,0.5996621951330516,0.5247417743322711,0.6378855004986255,30
2,0.4340948742833627,0.3588843019061901,0.5112287704810171,30
3,0.3263338842868006,0.2571395030675061,0.3920014269806428,30
4,0.2506367662219424,0.211801925820904,0.3274030669815881,30
5,0.1960415234465776,0.181840200911553,0.277774602135899,30
6,0.1598334814192151,0.1280157153705282,0.2226970703845214,30
7,0.1370167857003319,0.0853717757674154,0.1937053724364046,30
8,0.1194700820689723,0.0676305228285929,0.1790595487826612,30
9,0.1049278312547503,0.0643483442680522,0.1593884333775355,30
10,0.0978948552657097,0.0591869805977982,0.163591793822178,30
11,0.0911707864428653,0.0522944815528826,0.1307924483978934,30
12,0.076983340528308,0.0349797248471817,0.1160637641697223,30
13,0.0577560333851353,0.0137843687365146,0.1057597177925633,30
14,0.0520659408554211,0.0102508441005898,0.0988764310911489,30
15,0.0379878400285116,0.0013464186171838,0.1050181865414463,30
16,0.0451142054416858,0.0033746995709902,0.1296211757104287,30
17,0.0312671928180787,-0.0112682404380037,0.1151483963180682,30
18,0.0338371372551559,-0.0001008022605267,0.1023574200601021,30
19,0.0206200649341584,-0.0133865266190431,0.0837390309237035,30
20,0.0218736077191354,-0.0194889938523432,0.0695178787091826,30
