CCF division,Program_01,Program_02,Program_05,Program_08,Program_14,Program_26
Medulla,0.764934990827924,1.459802303603458,1.3146896888294597,0.7057420919781989,-0.1658227857069343,0.1671395107108992
cerebellum related fiber tracts,-0.0802036257294902,1.969384089661704,0.2659970364016024,0.5271044566458116,0.3873796541044815,0.0864248840715223
Cerebellum,-0.4375706098853047,-0.9361544292938752,-0.7546132384001308,-0.7215777497753094,-0.4265018946671027,-0.3910791492777331
"brain, unassigned",0.6682042782261765,1.0248852394145254,0.9108475707970952,0.3353592281330315,1.6260502068191796,0.096181513641926
cranial nerves,0.7133492938656785,3.150286690205399,0.9741488769802462,0.0499201404200582,1.2205161516033098,-0.2593012968716656
extrapyramidal fiber systems,0.6415083703666785,3.13406948801778,0.8558373287924432,0.8989890363291126,0.2535683582808222,0.2386488915805526
lateral forebrain bundle system,-0.0256147278417517,4.561796827090997,0.8154093305866439,0.9905336440190866,0.3550684767154954,0.4137066989208476
fourth ventricle,0.485660471329382,-0.8975362088955455,0.8586168692016947,0.8718467914593969,5.462976512194149,4.441390332110202
lateral ventricle,0.4819168940846058,0.2792746807037011,0.5651641125024109,1.101183259968842,8.753518679987486,4.430971627862626
Pons,0.4554777368443328,1.794744554670936,0.6954064949722928,-0.3900291037766201,0.2363730179840793,0.0056321082011085
Midbrain,0.3061687910968414,1.1643643233098653,0.725362688250224,0.935464336540011,0.0058921089941216,0.5327431941124643
cerebral aqueduct,-0.1794263736220138,-1.3610253812248316,1.5524863690713189,1.8061897235995616,2.237277439540953,12.409895884502273
Hippocampal formation,-0.2118540366621858,-1.2660225837090646,-0.1286300280811219,-0.4589050900265151,0.2709250807040678,-0.668708964445228
Isocortex,0.0006815681810237,-1.1160047958268484,-0.6027604642529649,-1.8968399435295105,-0.7038102327246424,-0.1857282480041361
medial forebrain bundle system,0.004144581662874,4.212670633117244,0.6990419421064439,0.4293555571701467,1.540500635737767,0.5567821860392587
supra-callosal cerebral white matter,-0.1918830951188465,3.6400905158702623,-0.0249719577087115,-0.044031955500964,-0.3144924173740441,-0.4026941433206314
Olfactory areas,-0.0891635425784086,-0.5918811082061968,-0.0245293548091592,0.6835900168501449,-0.1199468459114447,-0.1552907066500205
Cortical subplate,-0.4688852309642422,-1.009704235656862,-0.2743176995954835,0.1669557658903373,-0.509448450515588,0.094604355678212
"fiber tracts, unassigned",0.2330844468444983,3.908523122482158,0.6961285878534177,0.9074547191365204,1.8165157544146644,0.1819157530908008
Thalamus,0.4389486698619943,0.2792705207897591,0.7852463334075102,-0.4550784814404112,-0.3726146190331563,-1.0262035249396575
Hypothalamus,0.5478496034054446,0.5340414871359558,1.155857489960215,0.1643162983333344,0.8415339254398188,1.137404681459574
third ventricle,0.0980884094698162,0.8530929838843677,1.565617012564959,-0.4450211391895711,3.479035604060853,7.295406875599675
Striatum,-0.6305820594052668,-0.3014305743969632,-0.6106397243538926,3.693697833406371,-0.0429831902183873,-0.0173391080767905
Pallidum,0.3558592637098497,1.7849312680644551,1.7151637528970975,0.9743859348449504,0.1973920863087697,0.1413451309723007
