program,interpretation,gene,rank,loading,subclass_eta_squared,signed_coherence
P01,Endothelial / BBB,Cldn5,1,0.2664712184087371,0.5531056357197845,0.3883898416333189
P01,Endothelial / BBB,Adgrf5,2,0.2497663948342191,0.5531056357197845,0.3883898416333189
P01,Endothelial / BBB,Clic5,3,0.2381092655772367,0.5531056357197845,0.3883898416333189
P01,Endothelial / BBB,Hmcn1,4,0.2305516976871487,0.5531056357197845,0.3883898416333189
P02,Oligodendrocyte / myelin,Opalin,1,0.2589015274867711,0.5606796927935898,0.4939304401744277
P02,Oligodendrocyte / myelin,Mog,2,0.2471136357660522,0.5606796927935898,0.4939304401744277
P02,Oligodendrocyte / myelin,Sox10,3,0.2266006346640017,0.5606796927935898,0.4939304401744277
P02,Oligodendrocyte / myelin,Lpar1,4,0.2260365386529982,0.5606796927935898,0.4939304401744277
P05,Astroglial,Slc7a10,1,0.2618573221946058,0.5377521783453847,0.3583895397134835
P05,Astroglial,Gja1,2,0.2453115106738632,0.5377521783453847,0.3583895397134835
P05,Astroglial,Cxcl14,3,0.2285144316916826,0.5377521783453847,0.3583895397134835
P05,Astroglial,Slc1a3,4,0.2163179807143757,0.5377521783453847,0.3583895397134835
P08,Striatal Drd2 / Penk,Penk,1,0.2001427330243361,0.6167964403915701,0.2123886312967417
P08,Striatal Drd2 / Penk,Drd2,2,0.13617640647397,0.6167964403915701,0.2123886312967417
P08,Striatal Drd2 / Penk,Gpr88,3,0.1280863067853608,0.6167964403915701,0.2123886312967417
P08,Striatal Drd2 / Penk,Bcl11b,4,0.1263896581326381,0.6167964403915701,0.2123886312967417
P14,Choroid plexus epithelium,Aqp1,1,0.3454970255905703,0.7330502344969978,0.2266764922319122
P14,Choroid plexus epithelium,Kl,2,0.3140125506153192,0.7330502344969978,0.2266764922319122
P14,Choroid plexus epithelium,Clic6,3,0.25758613523536,0.7330502344969978,0.2266764922319122
P14,Choroid plexus epithelium,Prlr,4,0.2420698914231169,0.7330502344969978,0.2266764922319122
P26,Ependymal / ventricular,Hdc,1,0.3187332968121567,0.6189028368094438,0.0872393300654714
P26,Ependymal / ventricular,Cd24a,2,0.2941794248405259,0.6189028368094438,0.0872393300654714
P26,Ependymal / ventricular,Vit,3,0.2765023925806357,0.6189028368094438,0.0872393300654714
P26,Ependymal / ventricular,Vwa5b1,4,0.2215547231073487,0.6189028368094438,0.0872393300654714
