section,z_section,loading_deviation
C57BL6J-638850.01,0.0,3.6392774459757806
C57BL6J-638850.02,0.20000003,3.625849168730837
C57BL6J-638850.03,0.40000004,3.6940843792372817
C57BL6J-638850.04,0.59999996,3.7525929783831904
C57BL6J-638850.05,0.8000001,3.907865959354986
C57BL6J-638850.06,1.0,3.629495993652664
C57BL6J-638850.08,1.3999997,3.523705946654334
C57BL6J-638850.09,1.6000003,3.5106945383615247
C57BL6J-638850.10,1.7999996,3.6821791769120407
C57BL6J-638850.11,2.0,3.6237630361753648
C57BL6J-638850.12,2.2000005,3.6805402846054913
C57BL6J-638850.13,2.3999999,3.72467854964293
C57BL6J-638850.14,2.6000001,3.63753410724897
C57BL6J-638850.15,2.7999995,3.62637965129994
C57BL6J-638850.16,3.0,3.818745232381219
C57BL6J-638850.17,3.2000005,3.958971155734951
C57BL6J-638850.18,3.4000008,3.8455001423407262
C57BL6J-638850.19,3.5999992,3.829655133093868
C57BL6J-638850.24,3.7999997,3.928601312325048
C57BL6J-638850.25,4.0,3.700135424282279
C57BL6J-638850.26,4.2000003,3.694829942519965
C57BL6J-638850.27,4.400001,3.633586937368351
C57BL6J-638850.28,4.599999,3.536982941473051
C57BL6J-638850.29,4.7999997,3.6103017824880497
C57BL6J-638850.30,5.0,3.617706877843864
C57BL6J-638850.31,5.400001,3.681648502025253
C57BL6J-638850.32,5.5999985,3.666711504363464
C57BL6J-638850.33,5.7999997,3.64336453187317
C57BL6J-638850.35,6.2000003,3.749647497251192
C57BL6J-638850.36,6.4000006,3.673786759338319
C57BL6J-638850.37,6.5999994,3.5224489372698278
C57BL6J-638850.38,6.800002,3.4263849219256364
C57BL6J-638850.39,7.0,3.786403501678677
C57BL6J-638850.40,7.199998,3.41501555530488
C57BL6J-638850.42,7.5999994,3.6026619640811983
C57BL6J-638850.43,7.8000026,3.4110175117998933
C57BL6J-638850.44,8.0,3.371987687507989
C57BL6J-638850.45,8.199998,3.1671441567515286
C57BL6J-638850.46,8.400001,3.1864173797820547
C57BL6J-638850.47,8.800002,3.165890617563224
C57BL6J-638850.48,9.0,3.215005019196069
C57BL6J-638850.49,9.199998,3.3096653191758847
C57BL6J-638850.50,9.400002,3.30712284232338
C57BL6J-638850.51,9.599999,3.445672450806304
C57BL6J-638850.52,9.800002,3.3935003655161786
C57BL6J-638850.54,10.199997,3.4663775083584443
C57BL6J-638850.55,10.400001,3.360453840327592
C57BL6J-638850.56,10.800002,3.342812805880687
C57BL6J-638850.57,11.0,3.4528916175632047
C57BL6J-638850.58,11.199998,3.446330835570184
C57BL6J-638850.59,11.399999,3.436176822063744
C57BL6J-638850.60,11.800002,3.509651644536872
C57BL6J-638850.61,12.0,3.637759487737884
C57BL6J-638850.62,12.199998,3.934270702553207
C57BL6J-638850.64,13.0,4.580653618780288
C57BL6J-638850.66,13.800002,4.411217483145009
C57BL6J-638850.67,14.199998,4.442983551536883
C57BL6J-638850.68,14.600001,4.5590881300616175
C57BL6J-638850.69,15.0,4.768796614984928
