program,arm,sign,rank,gene,loading,abs_loading,basis_model
P02,positive,positive,1,Lrrc4c,0.0731435063022253,0.0731435063022253,global_reference_for_grouped_coordinate
P02,positive,positive,2,Lgals2,0.0699688191288139,0.0699688191288139,global_reference_for_grouped_coordinate
P02,positive,positive,3,Pcdh9,0.0684168169616892,0.0684168169616892,global_reference_for_grouped_coordinate
P02,positive,positive,4,Lrrtm4,0.0683573617282788,0.0683573617282788,global_reference_for_grouped_coordinate
P02,positive,positive,5,Fgf14,0.0668667050902845,0.0668667050902845,global_reference_for_grouped_coordinate
P02,positive,positive,6,Csmd1,0.0633644672847268,0.0633644672847268,global_reference_for_grouped_coordinate
P02,positive,positive,7,Creb5,0.0575110672423912,0.0575110672423912,global_reference_for_grouped_coordinate
P02,positive,positive,8,Gpc6,0.0567220405245365,0.0567220405245365,global_reference_for_grouped_coordinate
P02,positive,positive,9,Kcnd2,0.0557274888205651,0.0557274888205651,global_reference_for_grouped_coordinate
P02,positive,positive,10,Galntl6,0.0555858309872379,0.0555858309872379,global_reference_for_grouped_coordinate
P04,positive,positive,1,Myl1,0.1746027517306078,0.1746027517306078,global_reference_for_grouped_coordinate
P04,positive,positive,2,Ttn,0.1726939760441878,0.1726939760441878,global_reference_for_grouped_coordinate
P04,positive,positive,3,Tnnc2,0.165625916993619,0.165625916993619,global_reference_for_grouped_coordinate
P04,positive,positive,4,Neb,0.1635600714449157,0.1635600714449157,global_reference_for_grouped_coordinate
P04,positive,positive,5,Tnnt1,0.1626555522062938,0.1626555522062938,global_reference_for_grouped_coordinate
P04,positive,positive,6,Myh3,0.1591409110204651,0.1591409110204651,global_reference_for_grouped_coordinate
P04,positive,positive,7,Myog,0.1508151325935877,0.1508151325935877,global_reference_for_grouped_coordinate
P04,positive,positive,8,Myh8,0.1498736626126186,0.1498736626126186,global_reference_for_grouped_coordinate
P04,positive,positive,9,Mylpf,0.149754341703183,0.149754341703183,global_reference_for_grouped_coordinate
P04,positive,positive,10,Tceal7,0.1495952376341446,0.1495952376341446,global_reference_for_grouped_coordinate
P05,positive,positive,1,Tcf21,0.0531060709333198,0.0531060709333198,global_reference_for_grouped_coordinate
P05,positive,positive,2,Mylk,0.0425377667350887,0.0425377667350887,global_reference_for_grouped_coordinate
P05,positive,positive,3,Cxcl12,0.0421413045287311,0.0421413045287311,global_reference_for_grouped_coordinate
P05,positive,positive,4,Gpc6,0.0414537474546828,0.0414537474546828,global_reference_for_grouped_coordinate
P05,positive,positive,5,Foxp2,0.039457256101845,0.039457256101845,global_reference_for_grouped_coordinate
P05,positive,positive,6,Myh11,0.0383651501077972,0.0383651501077972,global_reference_for_grouped_coordinate
P05,positive,positive,7,Aldh1a2,0.0379054927200708,0.0379054927200708,global_reference_for_grouped_coordinate
P05,positive,positive,8,Unc5c,0.0375661988921538,0.0375661988921538,global_reference_for_grouped_coordinate
P05,positive,positive,9,Actg2,0.0367571530092173,0.0367571530092173,global_reference_for_grouped_coordinate
P05,positive,positive,10,Foxf1,0.0362716440203856,0.0362716440203856,global_reference_for_grouped_coordinate
