program,section,stage,mean,sd,n_cells,basis_model,embedding_mode
P02,E12.5_E1S1.MOSTA,E12.5,2.890992253749567e-06,3.494972224869161,51342,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E1S1.MOSTA,E12.5,-1.8982311605133416e-06,3.6460283909233433,51342,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E1S1.MOSTA,E12.5,-1.0160356181882437e-06,2.13196939504854,51342,stage_grouped,raw_apply_stage_procrustes
P02,E12.5_E1S2.MOSTA,E12.5,1.4050464527380355e-06,2.4838556551694917,47365,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E1S2.MOSTA,E12.5,1.3390765558120558e-06,3.178859653545535,47365,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E1S2.MOSTA,E12.5,-3.8354300300152915e-07,2.5194179354451585,47365,stage_grouped,raw_apply_stage_procrustes
P02,E12.5_E1S3.MOSTA,E12.5,1.942193776971873e-06,1.776791010450092,49908,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E1S3.MOSTA,E12.5,3.059561631868839e-07,1.6144810995616703,49908,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E1S3.MOSTA,E12.5,1.5868002186572291e-06,1.2245606317933166,49908,stage_grouped,raw_apply_stage_procrustes
P02,E12.5_E1S4.MOSTA,E12.5,9.340976746758532e-07,2.6631216932256754,55229,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E1S4.MOSTA,E12.5,5.234916606249696e-07,2.579409822271175,55229,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E1S4.MOSTA,E12.5,-1.7641906072267652e-06,1.8648123542696051,55229,stage_grouped,raw_apply_stage_procrustes
P02,E12.5_E1S5.MOSTA,E12.5,5.370349306144602e-07,2.3472123732662915,45667,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E1S5.MOSTA,E12.5,1.207971596830761e-06,3.04751162176171,45667,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E1S5.MOSTA,E12.5,-2.685781395669867e-07,2.3092749597556037,45667,stage_grouped,raw_apply_stage_procrustes
P02,E12.5_E2S1.MOSTA,E12.5,-1.776853968727158e-06,3.064491720402472,23639,stage_grouped,raw_apply_stage_procrustes
P04,E12.5_E2S1.MOSTA,E12.5,-1.5140125314680256e-06,2.3419738416842684,23639,stage_grouped,raw_apply_stage_procrustes
P05,E12.5_E2S1.MOSTA,E12.5,9.113793613185568e-07,2.1381307204102153,23639,stage_grouped,raw_apply_stage_procrustes
P02,E13.5_E1S1.MOSTA,E13.5,-2.845403892801393e-07,2.0555323270324313,77339,stage_grouped,raw_apply_stage_procrustes
P04,E13.5_E1S1.MOSTA,E13.5,1.5605275945768484e-06,1.8992707898869563,77339,stage_grouped,raw_apply_stage_procrustes
P05,E13.5_E1S1.MOSTA,E13.5,2.3213082187031895e-06,1.6434799251991472,77339,stage_grouped,raw_apply_stage_procrustes
P02,E13.5_E1S2.MOSTA,E13.5,-2.205770089386147e-06,2.553251130796082,64583,stage_grouped,raw_apply_stage_procrustes
P04,E13.5_E1S2.MOSTA,E13.5,-1.4705315879817428e-06,3.35112036346428,64583,stage_grouped,raw_apply_stage_procrustes
P05,E13.5_E1S2.MOSTA,E13.5,6.30574527989082e-07,2.5500299945543947,64583,stage_grouped,raw_apply_stage_procrustes
P02,E13.5_E1S3.MOSTA,E13.5,-2.285783875123351e-06,2.424269958793947,84702,stage_grouped,raw_apply_stage_procrustes
P04,E13.5_E1S3.MOSTA,E13.5,2.600302288055708e-06,2.501345833710766,84702,stage_grouped,raw_apply_stage_procrustes
P05,E13.5_E1S3.MOSTA,E13.5,-9.40348524505928e-07,2.3960733449795333,84702,stage_grouped,raw_apply_stage_procrustes
P02,E13.5_E1S4.MOSTA,E13.5,6.74767276221651e-07,2.0950099372448414,73167,stage_grouped,raw_apply_stage_procrustes
P04,E13.5_E1S4.MOSTA,E13.5,1.0805533776857948e-06,2.47007061505919,73167,stage_grouped,raw_apply_stage_procrustes
P05,E13.5_E1S4.MOSTA,E13.5,3.0179701673219103e-06,1.6425534343954784,73167,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S1.MOSTA,E14.5,-1.93547848448998e-06,2.0636288824849354,102518,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S1.MOSTA,E14.5,4.354052461077891e-06,3.965465720878979,102518,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S1.MOSTA,E14.5,1.1581319896867649e-06,3.0531862290542495,102518,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S2.MOSTA,E14.5,-1.0007419614563475e-06,1.609199642858869,102942,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S2.MOSTA,E14.5,-1.6921388319941397e-06,3.954355538705825,102942,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S2.MOSTA,E14.5,-5.358931478612053e-07,2.768841480455454,102942,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S3.MOSTA,E14.5,-1.2966326659274858e-06,1.449858335732583,92928,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S3.MOSTA,E14.5,5.869846749336952e-06,3.470451616092054,92928,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S3.MOSTA,E14.5,-1.2335471885333214e-07,1.7138201361266157,92928,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S4.MOSTA,E14.5,-7.367094539023163e-07,1.596229630364688,105838,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S4.MOSTA,E14.5,6.678849526475436e-07,3.0612576990353095,105838,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S4.MOSTA,E14.5,-1.1004138268211733e-07,2.5297045945266547,105838,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S5.MOSTA,E14.5,-8.768537173777454e-07,1.9922213943624885,101350,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S5.MOSTA,E14.5,1.7862187773978255e-06,3.651777318263914,101350,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S5.MOSTA,E14.5,-1.2924310057582737e-06,2.8207188047597014,101350,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E2S1.MOSTA,E14.5,4.362907983638963e-06,1.2712052098083195,92747,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E2S1.MOSTA,E14.5,1.0797363754496605e-06,3.0938816271596186,92747,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E2S1.MOSTA,E14.5,-3.8091885202605883e-07,1.8276782701776368,92747,stage_grouped,raw_apply_stage_procrustes
